Category,Week,Forecast_Demand,Order_Qty,End_Inventory,Need_Order
Books,2024-01-01,192,754,622,是
Books,2024-01-08,182,0,440,
Books,2024-01-15,207,0,234,
Books,2024-01-22,174,0,60,
Books,2024-01-29,199,765,626,是
Books,2024-02-05,223,0,403,
Books,2024-02-12,166,0,237,
Books,2024-02-19,177,0,60,
Books,2024-02-26,174,729,616,是
Books,2024-03-04,195,0,420,
Books,2024-03-11,167,0,254,
Books,2024-03-18,194,0,60,
Clothing,2024-01-01,161,745,643,是
Clothing,2024-01-08,193,0,450,
Clothing,2024-01-15,191,0,258,
Clothing,2024-01-22,200,0,59,
Clothing,2024-01-29,168,680,570,是
Clothing,2024-02-05,168,0,403,
Clothing,2024-02-12,172,0,230,
Clothing,2024-02-19,171,0,59,
Clothing,2024-02-26,188,772,643,是
Clothing,2024-03-04,187,0,456,
Clothing,2024-03-11,203,0,254,
Clothing,2024-03-18,194,0,59,
Electronics,2024-01-01,172,751,635,是
Electronics,2024-01-08,188,0,447,
Electronics,2024-01-15,196,0,251,
Electronics,2024-01-22,195,0,56,
Electronics,2024-01-29,248,821,629,是
Electronics,2024-02-05,196,0,433,
Electronics,2024-02-12,204,0,229,
Electronics,2024-02-19,173,0,56,
Electronics,2024-02-26,186,804,674,是
Electronics,2024-03-04,193,0,481,
Electronics,2024-03-11,202,0,280,
Electronics,2024-03-18,224,0,56,
Home & Kitchen,2024-01-01,149,752,662,是
Home & Kitchen,2024-01-08,204,0,458,
Home & Kitchen,2024-01-15,200,0,258,
Home & Kitchen,2024-01-22,199,0,59,
Home & Kitchen,2024-01-29,202,721,579,是
Home & Kitchen,2024-02-05,152,0,427,
Home & Kitchen,2024-02-12,167,0,260,
Home & Kitchen,2024-02-19,201,0,59,
Home & Kitchen,2024-02-26,194,754,619,是
Home & Kitchen,2024-03-04,185,0,434,
Home & Kitchen,2024-03-11,188,0,246,
Home & Kitchen,2024-03-18,187,0,59,
Sports & Outdoors,2024-01-01,195,797,662,是
Sports & Outdoors,2024-01-08,205,0,457,
Sports & Outdoors,2024-01-15,189,0,268,
Sports & Outdoors,2024-01-22,209,0,59,
Sports & Outdoors,2024-01-29,200,755,614,是
Sports & Outdoors,2024-02-05,194,0,420,
Sports & Outdoors,2024-02-12,179,0,241,
Sports & Outdoors,2024-02-19,182,0,59,
Sports & Outdoors,2024-02-26,186,750,622,是
Sports & Outdoors,2024-03-04,174,0,448,
Sports & Outdoors,2024-03-11,196,0,252,
Sports & Outdoors,2024-03-18,193,0,59,
Toys & Games,2024-01-01,186,770,642,是
Toys & Games,2024-01-08,198,0,444,
Toys & Games,2024-01-15,199,0,246,
Toys & Games,2024-01-22,188,0,58,
Toys & Games,2024-01-29,192,792,658,是
Toys & Games,2024-02-05,218,0,439,
Toys & Games,2024-02-12,210,0,229,
Toys & Games,2024-02-19,171,0,58,
Toys & Games,2024-02-26,182,724,600,是
Toys & Games,2024-03-04,170,0,430,
Toys & Games,2024-03-11,200,0,230,
Toys & Games,2024-03-18,172,0,58,
